Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,Number_unclassified,Percent_unclassified,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary
ccpp,1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8610.0,957.0,14.952683622237018,17.25232820928044,100.0,100.0,2.2930425302401366E-6,0.0,0.0,8845.172192052609,10986.120474429383,-2140.948282376774,9.242604171423833,11.479749712047422,-2.237145540623588,0.001,0.106,0.0,0.09,867.0,595562.0,67505.0,?
ccpp,1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8610.0,957.0,14.762803753017282,16.95219590920285,100.00000000000001,100.0,3.05864198268984E-6,0.0,0.0,8818.637237986763,12011.90591634125,-3193.268678354487,9.214876946694632,12.551625826897856,-3.3367488802032255,0.0,0.074,0.0,0.07,867.0,595562.0,67505.0,?
ccpp,1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8610.0,957.0,15.242560653998732,17.514917580312105,100.0,100.0,0.0,0.0,0.0,8847.227273478662,10992.193979201922,-2144.96670572326,9.244751591931726,11.486096112018727,-2.2413445200870012,0.001,0.053,0.0,0.05,867.0,595562.0,67505.0,?
ccpp,1,4,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8610.0,957.0,15.205700461299248,22.46722505237174,100.0,100.0,0.0,0.0,0.0,12458.82324914826,14811.240859052445,-2352.417609904185,13.01862408479442,15.476740709563684,-2.4581166247692634,0.0,0.078,0.0,0.07,867.0,595562.0,67505.0,?
ccpp,1,5,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8610.0,957.0,14.404183190792816,16.585570014763352,100.0,100.0,-1.7304578518356712E-6,0.0,0.0,8788.242697826992,10897.380110722643,-2109.1374128956504,9.183116716642624,11.38702205927131,-2.203905342628684,0.0,0.053,0.0,0.05,867.0,595562.0,67505.0,?
ccpp,1,6,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8610.0,957.0,14.63408836168976,16.886045057724157,100.0,100.0,0.0,0.0,0.0,8820.557123226035,10957.388065790065,-2136.830942564029,9.216883096369942,11.449726296541343,-2.2328432001713994,0.0,0.067,0.0,0.06,867.0,595562.0,67505.0,?
ccpp,1,7,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8610.0,957.0,14.639074488729626,16.89874543358627,100.0,100.0,-5.765049975000171E-6,0.0,0.0,8808.16782015231,10973.367926269335,-2165.200106117025,9.203937116146614,11.466424165380705,-2.2624870492340907,0.001,0.065,0.0,0.07,867.0,595562.0,67505.0,?
ccpp,1,8,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8611.0,956.0,15.017206435137515,17.216246218442798,100.0,100.0,0.0,0.0,0.0,8814.927276662605,10946.982378388153,-2132.0551017255475,9.220635226634524,11.450818387435307,-2.230183160800782,0.001,0.052,0.0,0.05,867.0,595631.0,67436.0,?
ccpp,1,9,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8611.0,956.0,15.065054586208259,17.311450565614688,100.0,100.0,1.1541123444225777E-6,0.0,0.0,8806.813695377228,11162.379273564971,-2355.565578187743,9.212148216921786,11.676128947243694,-2.463980730321907,0.001,0.052,0.0,0.04,867.0,595631.0,67436.0,?
ccpp,1,10,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8611.0,956.0,14.879032729859404,17.06094454458862,100.00000000000001,100.0,1.225396716903543E-6,0.0,0.0,8805.583044871057,10933.078971315177,-2127.4959264441204,9.21086092559734,11.436275074597466,-2.225414149000126,0.0,0.049,0.0,0.05,867.0,595631.0,67436.0,?
ccpp,1,1,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8610.0,957.0,14.952683622237018,17.25232820928044,100.0,100.0,2.2930425302401366E-6,0.0,0.0,8845.172192052609,10986.120474429383,-2140.948282376774,9.242604171423833,11.479749712047422,-2.237145540623588,0.0,0.067,0.0,0.05,867.0,595562.0,67505.0,?
ccpp,1,2,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8610.0,957.0,14.762803753017282,16.95219590920285,100.00000000000001,100.0,3.05864198268984E-6,0.0,0.0,8818.637237986763,12011.90591634125,-3193.268678354487,9.214876946694632,12.551625826897856,-3.3367488802032255,0.001,0.05,0.0,0.04,867.0,595562.0,67505.0,?
ccpp,1,3,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8610.0,957.0,15.242560653998732,17.514917580312105,100.0,100.0,0.0,0.0,0.0,8847.227273478662,10992.193979201922,-2144.96670572326,9.244751591931726,11.486096112018727,-2.2413445200870012,0.001,0.082,0.0,0.06,867.0,595562.0,67505.0,?
ccpp,1,4,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8610.0,957.0,15.205700461299248,22.46722505237174,100.0,100.0,0.0,0.0,0.0,12458.82324914826,14811.240859052445,-2352.417609904185,13.01862408479442,15.476740709563684,-2.4581166247692634,0.001,0.078,0.0,0.07,867.0,595562.0,67505.0,?
ccpp,1,5,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8610.0,957.0,14.404183190792816,16.585570014763352,100.0,100.0,-1.7304578518356712E-6,0.0,0.0,8788.242697826992,10897.380110722643,-2109.1374128956504,9.183116716642624,11.38702205927131,-2.203905342628684,0.0,0.05,0.0,0.05,867.0,595562.0,67505.0,?
ccpp,1,6,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8610.0,957.0,14.63408836168976,16.886045057724157,100.0,100.0,0.0,0.0,0.0,8820.557123226035,10957.388065790065,-2136.830942564029,9.216883096369942,11.449726296541343,-2.2328432001713994,0.0,0.091,0.0,0.05,867.0,595562.0,67505.0,?
ccpp,1,7,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8610.0,957.0,14.639074488729626,16.89874543358627,100.0,100.0,-5.765049975000171E-6,0.0,0.0,8808.16782015231,10973.367926269335,-2165.200106117025,9.203937116146614,11.466424165380705,-2.2624870492340907,0.001,0.049,0.0,0.05,867.0,595562.0,67505.0,?
ccpp,1,8,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8611.0,956.0,15.017206435137515,17.216246218442798,100.0,100.0,0.0,0.0,0.0,8814.927276662605,10946.982378388153,-2132.0551017255475,9.220635226634524,11.450818387435307,-2.230183160800782,0.0,0.052,0.0,0.05,867.0,595631.0,67436.0,?
ccpp,1,9,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8611.0,956.0,15.065054586208259,17.311450565614688,100.0,100.0,1.1541123444225777E-6,0.0,0.0,8806.813695377228,11162.379273564971,-2355.565578187743,9.212148216921786,11.676128947243694,-2.463980730321907,0.0,0.049,0.0,0.05,867.0,595631.0,67436.0,?
ccpp,1,10,weka.classifiers.rules.ZeroR,'',48055541465867954,2.01611020426E7,8611.0,956.0,14.879032729859404,17.06094454458862,100.00000000000001,100.0,1.225396716903543E-6,0.0,0.0,8805.583044871057,10933.078971315177,-2127.4959264441204,9.21086092559734,11.436275074597466,-2.225414149000126,0.0,0.052,0.0,0.05,867.0,595631.0,67436.0,?
